@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
25,6,1,1,0,1,24,18,Stop,Stop,Stop,North,North
25,7,1,1,0,1,23,18,Stop,Stop,Stop,North,North
25,8,1,1,0,1,24,18,Stop,Stop,Stop,North,North
25,9,1,1,0,1,24,18,Stop,Stop,Stop,North,North
25,10,1,1,0,1,24,18,Stop,Stop,Stop,West,West
25,11,0,1,0,1,25,18,Stop,Stop,Stop,South,South
24,11,0,1,1,1,24,18,Stop,Stop,Stop,South,South
24,10,1,1,1,1,23,18,Stop,Stop,Stop,West,West
24,9,1,1,1,1,22,18,Stop,Stop,Stop,North,North
23,9,1,1,1,0,23,18,Stop,Stop,Stop,North,North
23,10,1,1,1,1,22,18,Stop,Stop,Stop,West,West
23,11,0,1,1,1,23,18,Stop,Stop,Stop,South,South
22,11,0,1,1,0,22,18,Stop,Stop,Stop,East,East
22,10,1,0,1,1,21,18,Stop,Stop,Stop,North,North
23,10,1,1,1,1,20,18,Stop,Stop,Stop,West,West
23,11,0,1,1,1,20,18,Stop,Stop,Stop,South,South
22,11,0,1,1,0,19,18,Stop,Stop,Stop,West,West
22,10,1,0,1,1,18,18,Stop,Stop,Stop,West,West
21,10,0,0,1,1,18,18,Stop,Stop,Stop,North,North
20,10,1,0,1,1,18,17,Stop,Stop,Stop,North,North
20,11,1,1,0,1,18,17,Stop,Stop,Stop,North,North
20,12,1,1,0,1,18,17,Stop,Stop,Stop,North,North
20,13,1,1,0,1,19,17,Stop,Stop,Stop,North,North
20,14,1,1,0,1,20,17,Stop,Stop,Stop,North,North
20,15,1,1,1,0,20,17,Stop,Stop,Stop,North,North
1,18,0,1,1,0,5,10,South,South,South,South,South
1,17,1,1,0,0,6,10,South,South,South,South,South
