@relation alpha_training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
16,12,1,1,1,1,5,6,5,12,13,6,7,1,17,11,9,-1,Stop,Stop,Stop,Stop,East
16,11,1,1,1,1,5,6,5,12,13,6,7,1,16,12,8,-1,Stop,Stop,Stop,Stop,East
17,11,1,1,1,1,5,6,5,12,13,6,7,1,17,13,9,-1,Stop,Stop,Stop,Stop,South
18,11,1,1,0,1,5,6,5,12,13,6,7,1,18,14,10,-1,Stop,Stop,Stop,Stop,South
18,10,1,1,0,1,5,6,5,12,13,6,7,1,17,15,9,-1,Stop,Stop,Stop,Stop,South
18,9,1,1,0,1,5,6,5,12,13,6,7,1,16,16,8,-1,Stop,Stop,Stop,Stop,South
18,8,1,1,0,1,5,6,5,12,13,6,7,1,15,17,7,-1,Stop,Stop,Stop,Stop,South
18,7,1,1,0,1,5,6,5,12,13,6,7,1,14,18,6,-1,Stop,Stop,Stop,Stop,South
18,6,1,1,0,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,South
18,5,1,1,0,1,5,6,5,12,13,6,7,1,14,20,6,-1,Stop,Stop,Stop,Stop,South
18,4,1,1,0,1,5,6,5,12,13,6,7,1,15,21,7,-1,Stop,Stop,Stop,Stop,West
18,3,1,0,0,1,5,6,5,12,13,6,7,1,16,22,8,-1,Stop,Stop,Stop,Stop,West
17,3,1,0,1,1,5,6,5,12,13,6,7,1,15,21,7,-1,Stop,Stop,Stop,Stop,West
16,3,1,0,1,1,5,6,5,12,13,6,7,1,14,20,6,-1,Stop,Stop,Stop,Stop,West
15,3,1,0,1,1,5,6,5,12,13,6,7,1,13,19,5,-1,Stop,Stop,Stop,Stop,West
14,3,1,0,1,1,5,6,5,12,13,6,7,1,12,18,4,-1,Stop,Stop,Stop,Stop,North
13,3,1,0,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,North
13,4,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,East
13,5,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,East
14,5,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,West
15,5,1,1,1,1,5,6,5,12,13,6,7,1,11,17,3,-1,Stop,Stop,Stop,Stop,West
14,5,1,1,1,1,5,6,5,12,13,6,7,1,10,16,2,-1,Stop,Stop,Stop,Stop,North
13,5,1,1,1,1,5,6,5,12,13,6,7,1,9,15,1,-1,Stop,Stop,Stop,Stop,North
13,6,1,1,1,1,5,6,5,12,5,1,7,1,8,14,-1,-1,Stop,Stop,Stop,Stop,West
13,7,1,1,1,1,5,6,5,12,5,1,7,1,9,13,-1,-1,Stop,Stop,Stop,Stop,West
12,7,1,1,1,1,5,6,5,12,5,1,7,1,8,12,-1,-1,Stop,Stop,Stop,Stop,West
11,7,1,1,1,1,5,6,5,12,5,1,7,1,7,11,-1,-1,Stop,Stop,Stop,Stop,West
10,7,1,1,1,1,5,6,5,12,5,1,7,1,6,10,-1,-1,Stop,Stop,Stop,Stop,South
9,7,1,1,1,1,5,6,5,12,5,1,7,1,5,9,-1,-1,Stop,Stop,Stop,Stop,South
9,6,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,West
9,5,1,1,1,1,5,6,5,12,5,1,7,1,5,11,-1,-1,Stop,Stop,Stop,Stop,West
8,5,1,1,1,1,5,6,5,12,5,1,7,1,4,10,-1,-1,Stop,Stop,Stop,Stop,West
7,5,1,1,1,1,5,6,5,12,5,1,7,1,3,9,-1,-1,Stop,Stop,Stop,Stop,West
6,5,1,1,1,1,5,6,5,12,5,1,7,1,2,8,-1,-1,Stop,Stop,Stop,Stop,North
5,5,1,1,1,1,5,6,5,12,5,1,7,1,1,7,-1,-1,Stop,Stop,Stop,Stop,North
5,6,1,1,1,1,1,1,5,12,5,1,7,1,-1,6,-1,-1,Stop,Stop,Stop,Stop,North
5,7,1,1,1,1,1,1,5,12,5,1,7,1,-1,5,-1,-1,Stop,Stop,Stop,Stop,North
5,8,1,1,1,1,1,1,5,12,5,1,7,1,-1,4,-1,-1,Stop,Stop,Stop,Stop,Stop
5,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,East
5,9,0,1,1,1,1,1,5,12,5,1,7,1,-1,3,-1,-1,Stop,Stop,Stop,Stop,North
